,Year,State,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,Population,gunspercapita
79,2018-07-01,Nevada,2530.0,0.0,3678.0,1799.0,279.0,206,0.0,0.0,0.0,1.0,302.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8903,3027341,0.002940864606927333
80,2018-07-01,New Hampshire,1289.0,0.0,4157.0,2332.0,147.0,1,17.0,0.0,0.0,0.0,0.0,14.0,1.0,60.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8029,1353465,0.005932181474955023
81,2018-07-01,New Jersey,0.0,0.0,4193.0,2486.0,178.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6857,8886025,0.0007716611195669605
82,2018-07-01,New Mexico,767.0,0.0,4795.0,3252.0,423.0,353,0.0,5.0,10.0,0.0,448.0,383.0,4.0,30.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,10485,2092741,0.005010175650020715
83,2018-07-01,New York,2615.0,1322.0,7901.0,8692.0,916.0,163,0.0,1.0,1.0,1.0,53.0,29.0,5.0,22.0,40.0,1.0,2.0,3.0,353.0,250.0,14.0,10.0,10.0,1.0,22405,19530351,0.001147188803724009
84,2018-07-01,North Carolina,22044.0,0.0,1145.0,7771.0,716.0,165,0.0,11.0,14.0,3.0,1855.0,1477.0,9.0,0.0,0.0,0.0,8.0,4.0,4.0,13.0,2.0,1.0,1.0,1.0,35244,10381615,0.0033948475261315315
85,2018-07-01,North Dakota,589.0,0.0,1079.0,1791.0,99.0,49,2.0,1.0,3.0,1.0,69.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,3791,758080,0.005000791473195441
86,2018-07-01,Ohio,13859.0,1115.0,16942.0,10255.0,1102.0,778,0.0,9.0,7.0,0.0,1018.0,490.0,1.0,50.0,6.0,0.0,0.0,0.0,30.0,19.0,4.0,1.0,2.0,1.0,45689,11676341,0.0039129552656949635
87,2018-07-01,Oklahoma,2.0,0.0,8920.0,6314.0,903.0,763,10.0,10.0,10.0,0.0,1627.0,1261.0,7.0,0.0,0.0,0.0,0.0,0.0,45.0,42.0,16.0,1.0,0.0,1.0,19932,3940235,0.005058581531304605
88,2018-07-01,Oregon,4733.0,40.0,10543.0,7700.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23171,4181886,0.00554080144700262
89,2018-07-01,Pennsylvania,22245.0,0.0,33494.0,9738.0,29.0,0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66391,12800922,0.00518642329044736
90,2018-07-01,Rhode Island,0.0,0.0,799.0,453.0,67.0,109,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,12.0,4.0,0.0,3.0,3.0,0.0,1472,1058287,0.0013909270358607826
91,2018-07-01,South Carolina,4018.0,45.0,6972.0,4037.0,592.0,264,0.0,9.0,2.0,1.0,891.0,499.0,3.0,67.0,4.0,3.0,0.0,0.0,12.0,11.0,2.0,0.0,2.0,0.0,17434,5084156,0.0034290843947353306
92,2018-07-01,South Dakota,954.0,0.0,1678.0,2160.0,165.0,91,0.0,3.0,0.0,0.0,152.0,167.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,0.0,0.0,5385,878698,0.006128385406590205
93,2018-07-01,Tennessee,18098.0,0.0,19188.0,9840.0,1071.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48261,6771631,0.0071269388423557045
94,2018-07-01,Texas,49290.0,0.0,35363.0,23141.0,2882.0,2001,0.0,57.0,39.0,3.0,5821.0,3196.0,44.0,35.0,7.0,0.0,0.0,0.0,101.0,75.0,10.0,3.0,3.0,0.0,122071,28628666,0.004263943000347973
95,2018-07-01,Utah,15950.0,250.0,2603.0,2497.0,246.0,0,0.0,2.0,2.0,0.0,249.0,263.0,0.0,168.0,47.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22301,3153550,0.00707171283157077
96,2018-07-01,Vermont,0.0,0.0,1156.0,999.0,97.0,45,2.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2313,624358,0.003704605370636718
97,2018-07-01,Virginia,1802.0,25.0,18547.0,10039.0,2474.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32931,8501286,0.003873649233774749
98,2018-07-01,Washington,12969.0,54.0,13547.0,8385.0,1695.0,572,4.0,9.0,13.0,0.0,1103.0,876.0,8.0,425.0,93.0,7.0,0.0,0.0,704.0,502.0,58.0,6.0,10.0,0.0,41040,7523869,0.005454640425026008
99,2018-07-01,West Virginia,2354.0,0.0,4473.0,3951.0,242.0,293,3.0,9.0,11.0,0.0,923.0,806.0,1.0,7.0,0.0,1.0,0.0,0.0,36.0,24.0,1.0,1.0,0.0,0.0,13136,1804291,0.00728042206052128
100,2018-07-01,Wisconsin,8542.0,0.0,9351.0,7471.0,693.0,36,0.0,0.0,2.0,9.0,137.0,192.0,1.0,122.0,20.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,26598,5807406,0.0045800138650543805
101,2018-07-01,Wyoming,610.0,5.0,1448.0,1559.0,90.0,84,2.0,1.0,3.0,0.0,145.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,1.0,1.0,0.0,4118,577601,0.0071294890417433485
102,2017-07-01,Alabama,18042.0,1.0,6046.0,4790.0,224.0,258,0.0,7.0,13.0,0.0,1110.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,31474,4874486,0.006456885915766299
